LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/01/2015 00:40:00,,4063.00,2310.00,631.00,357.00,208.00,243.00,153.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2015 01:41:00,,4082.00,2313.00,628.00,360.00,207.00,239.00,153.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2015 02:41:00,,4073.00,2328.00,635.00,364.00,212.00,249.00,155.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2015 03:41:00,,4109.00,2389.00,641.00,377.00,212.00,249.00,157.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2015 04:41:00,,4144.00,2403.00,652.00,393.00,217.00,253.00,159.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2015 05:42:00,,4117.00,2368.00,647.00,379.00,217.00,253.00,158.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2015 06:42:00,,4098.00,2337.00,635.00,375.00,210.00,249.00,159.00,66.00,APPROVED
CA: SAN DIEGO,01/01/2015 07:42:00,,4110.00,2357.00,646.00,384.00,217.00,254.00,155.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2015 08:42:00,,4126.00,2391.00,645.00,386.00,217.00,255.00,162.00,66.00,APPROVED
CA: SAN DIEGO,01/01/2015 09:42:00,,4158.00,2429.00,662.00,386.00,221.00,256.00,161.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2015 10:43:00,,4133.00,2425.00,658.00,398.00,215.00,260.00,168.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2015 11:43:00,,4158.00,2418.00,661.00,396.00,222.00,256.00,165.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2015 12:43:00,,4145.00,2383.00,674.00,371.00,215.00,256.00,155.00,64.00,APPROVED
CA: SAN DIEGO,01/01/2015 13:43:00,,4177.00,2251.00,683.00,313.00,210.00,278.00,103.00,60.00,APPROVED
CA: SAN DIEGO,01/01/2015 14:43:00,,4154.00,2325.00,666.00,353.00,211.00,256.00,143.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2015 15:44:00,,4134.00,2398.00,658.00,390.00,218.00,252.00,165.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2015 16:44:00,,4128.00,2418.00,646.00,391.00,219.00,259.00,161.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2015 17:44:00,,4128.00,2394.00,646.00,385.00,212.00,254.00,162.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2015 18:44:00,,4098.00,2382.00,646.00,375.00,215.00,251.00,160.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2015 19:44:00,,4066.00,2332.00,637.00,369.00,206.00,250.00,156.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2015 20:45:00,,4027.00,2330.00,638.00,370.00,211.00,248.00,157.00,64.00,APPROVED
CA: SAN DIEGO,01/01/2015 21:45:00,,4004.00,2316.00,632.00,365.00,207.00,244.00,157.00,64.00,APPROVED
CA: SAN DIEGO,01/14/2015 18:38:00,,3378.00,1742.00,552.00,264.00,182.00,232.00,93.00,56.00,APPROVED
CA: SAN DIEGO,01/14/2015 19:38:00,,3310.00,1804.00,580.00,276.00,191.00,238.00,111.00,54.00,APPROVED
CA: SAN DIEGO,01/14/2015 20:38:00,,3345.00,1841.00,595.00,283.00,192.00,244.00,114.00,56.00,APPROVED
CA: SAN DIEGO,01/14/2015 21:38:00,,3330.00,1840.00,603.00,285.00,194.00,242.00,113.00,57.00,APPROVED
CA: SAN DIEGO,01/14/2015 22:38:00,,3286.00,1825.00,595.00,288.00,192.00,240.00,116.00,56.00,APPROVED
CA: SAN DIEGO,01/14/2015 23:39:00,,3335.00,1825.00,592.00,285.00,192.00,235.00,113.00,55.00,APPROVED
CA: SAN DIEGO,01/15/2015 00:39:00,,3176.00,1738.00,585.00,279.00,188.00,245.00,106.00,56.00,APPROVED
CA: SAN DIEGO,01/15/2015 01:39:00,,2945.00,1612.00,562.00,268.00,183.00,244.00,92.00,55.00,APPROVED
CA: SAN DIEGO,01/15/2015 02:39:00,,3010.00,1628.00,562.00,272.00,182.00,246.00,87.00,55.00,APPROVED
CA: SAN DIEGO,01/15/2015 03:39:00,,3063.00,1663.00,566.00,272.00,187.00,253.00,86.00,57.00,APPROVED
CA: SAN DIEGO,01/15/2015 04:40:00,,3148.00,1724.00,587.00,279.00,191.00,257.00,88.00,57.00,APPROVED
CA: SAN DIEGO,01/15/2015 05:40:00,,3266.00,1784.00,607.00,285.00,193.00,266.00,90.00,57.00,APPROVED
CA: SAN DIEGO,01/15/2015 06:40:00,,3327.00,1844.00,622.00,290.00,198.00,266.00,89.00,58.00,APPROVED
CA: SAN DIEGO,01/15/2015 07:40:00,,3304.00,1816.00,617.00,288.00,195.00,265.00,87.00,56.00,APPROVED
CA: SAN DIEGO,01/15/2015 08:40:00,,3306.00,1820.00,615.00,287.00,196.00,265.00,90.00,59.00,APPROVED
CA: SAN DIEGO,01/15/2015 09:41:00,,3335.00,1855.00,633.00,295.00,202.00,270.00,91.00,57.00,APPROVED
CA: SAN DIEGO,01/15/2015 10:41:00,,3408.00,1908.00,647.00,298.00,200.00,275.00,93.00,61.00,APPROVED
CA: SAN DIEGO,01/15/2015 11:41:00,,3436.00,1916.00,651.00,300.00,203.00,275.00,95.00,60.00,APPROVED
CA: SAN DIEGO,01/15/2015 12:41:00,,3449.00,1904.00,640.00,293.00,199.00,275.00,93.00,60.00,APPROVED
CA: SAN DIEGO,01/15/2015 13:41:00,,3454.00,1881.00,630.00,292.00,197.00,267.00,91.00,59.00,APPROVED
CA: SAN DIEGO,01/15/2015 14:42:00,,3432.00,1864.00,627.00,290.00,198.00,266.00,88.00,59.00,APPROVED
CA: SAN DIEGO,01/15/2015 18:15:00,,4086.00,2369.00,660.00,380.00,218.00,252.00,159.00,64.00,APPROVED
CA: SAN DIEGO,01/15/2015 19:15:00,,4061.00,2343.00,652.00,374.00,211.00,251.00,159.00,62.00,APPROVED
CA: SAN DIEGO,01/15/2015 20:15:00,,3943.00,2268.00,634.00,362.00,205.00,247.00,152.00,63.00,APPROVED
CA: SAN DIEGO,01/15/2015 21:15:00,,3954.00,2293.00,641.00,367.00,209.00,243.00,154.00,62.00,APPROVED
CA: SAN DIEGO,01/15/2015 22:15:00,,3980.00,2311.00,649.00,366.00,211.00,247.00,156.00,64.00,APPROVED
CA: SAN DIEGO,01/15/2015 23:16:00,,4053.00,2343.00,647.00,369.00,214.00,247.00,155.00,62.00,APPROVED
CA: SAN DIEGO,01/16/2015 00:16:00,,4096.00,2343.00,650.00,365.00,211.00,243.00,157.00,60.00,APPROVED
CA: SAN DIEGO,01/16/2015 01:16:00,,4040.00,2294.00,639.00,353.00,206.00,239.00,153.00,59.00,APPROVED
CA: SAN DIEGO,01/16/2015 02:16:00,,3663.00,2084.00,611.00,327.00,201.00,229.00,146.00,57.00,APPROVED
CA: SAN DIEGO,01/16/2015 03:16:00,,3641.00,2072.00,620.00,330.00,202.00,230.00,151.00,58.00,APPROVED
CA: SAN DIEGO,01/16/2015 04:17:00,,3736.00,2170.00,643.00,352.00,209.00,243.00,150.00,62.00,APPROVED
CA: SAN DIEGO,01/16/2015 05:17:00,,3852.00,2244.00,658.00,365.00,214.00,249.00,155.00,61.00,APPROVED
CA: SAN DIEGO,01/16/2015 06:17:00,,3887.00,2261.00,653.00,363.00,213.00,248.00,155.00,60.00,APPROVED
CA: SAN DIEGO,01/16/2015 07:17:00,,3963.00,2280.00,666.00,361.00,211.00,244.00,155.00,59.00,APPROVED
CA: SAN DIEGO,01/16/2015 08:17:00,,4028.00,2363.00,670.00,374.00,212.00,252.00,158.00,60.00,APPROVED
