LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/13/2010 23:02:00,,3218.00,1682.00,483.00,235.00,159.00,180.00,118.00,50.00,APPROVED
CA: SAN DIEGO,01/14/2010 00:02:00,,3267.00,1706.00,498.00,234.00,159.00,181.00,117.00,50.00,APPROVED
CA: SAN DIEGO,01/16/2010 02:12:00,,3441.00,1865.00,533.00,266.00,170.00,195.00,126.00,53.00,APPROVED
CA: SAN DIEGO,01/16/2010 07:14:00,,3617.00,2033.00,592.00,298.00,187.00,232.00,135.00,56.00,APPROVED
CA: SAN DIEGO,01/16/2010 18:16:00,,3641.00,2041.00,586.00,295.00,187.00,224.00,135.00,57.00,APPROVED
CA: SAN DIEGO,01/16/2010 22:17:00,,3418.00,1836.00,530.00,263.00,169.00,195.00,127.00,52.00,APPROVED
CA: SAN DIEGO,01/17/2010 00:17:00,,3419.00,1809.00,519.00,257.00,169.00,194.00,124.00,52.00,APPROVED
CA: SAN DIEGO,01/17/2010 04:18:00,,3440.00,1840.00,531.00,261.00,172.00,200.00,118.00,51.00,APPROVED
CA: SAN DIEGO,01/31/2010 15:56:00,,3543.00,1950.00,588.00,273.00,180.00,237.00,113.00,54.00,APPROVED
CA: SAN DIEGO,02/15/2010 19:29:00,,3384.00,1864.00,526.00,280.00,176.00,199.00,134.00,53.00,APPROVED
CA: SAN DIEGO,02/27/2010 04:56:00,,3259.00,1709.00,488.00,241.00,160.00,187.00,111.00,50.00,APPROVED
CA: SAN DIEGO,02/28/2010 07:01:00,,3168.00,1612.00,475.00,226.00,152.00,181.00,98.00,47.00,APPROVED
CA: SAN DIEGO,03/11/2010 03:35:00,,3310.00,1696.00,500.00,239.00,163.00,189.00,109.00,49.00,APPROVED
CA: SAN DIEGO,03/13/2010 09:46:00,,3468.00,1864.00,553.00,259.00,175.00,219.00,107.00,52.00,APPROVED
CA: SAN DIEGO,03/13/2010 20:49:00,,3383.00,1796.00,517.00,254.00,168.00,194.00,123.00,48.00,APPROVED
CA: SAN DIEGO,03/13/2010 21:49:00,,3371.00,1766.00,514.00,244.00,168.00,191.00,120.00,51.00,APPROVED
CA: SAN DIEGO,03/17/2010 18:51:00,,3172.00,1729.00,490.00,256.00,159.00,185.00,125.00,52.00,APPROVED
CA: SAN DIEGO,03/17/2010 19:52:00,,3133.00,1724.00,485.00,258.00,158.00,184.00,125.00,51.00,APPROVED
CA: SAN DIEGO,03/17/2010 20:52:00,,3170.00,1739.00,481.00,255.00,158.00,185.00,122.00,50.00,APPROVED
CA: SAN DIEGO,03/17/2010 21:52:00,,3258.00,1797.00,502.00,266.00,166.00,192.00,128.00,53.00,APPROVED
CA: SAN DIEGO,03/17/2010 22:52:00,,3344.00,1835.00,512.00,269.00,172.00,193.00,130.00,53.00,APPROVED
CA: SAN DIEGO,03/17/2010 23:52:00,,3404.00,1867.00,523.00,273.00,171.00,203.00,132.00,53.00,APPROVED
CA: SAN DIEGO,03/18/2010 00:53:00,,3434.00,1874.00,529.00,277.00,175.00,200.00,132.00,53.00,APPROVED
CA: SAN DIEGO,03/18/2010 01:53:00,,3449.00,1870.00,530.00,272.00,174.00,198.00,131.00,52.00,APPROVED
CA: SAN DIEGO,03/18/2010 02:53:00,,3462.00,1860.00,530.00,268.00,173.00,199.00,131.00,50.00,APPROVED
CA: SAN DIEGO,03/18/2010 03:53:00,,3459.00,1860.00,536.00,265.00,171.00,197.00,127.00,51.00,APPROVED
CA: SAN DIEGO,03/18/2010 04:53:00,,3514.00,1918.00,545.00,274.00,179.00,202.00,130.00,52.00,APPROVED
