LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/01/2019 00:31:00,104.00,3226.00,1790.00,549.00,263.00,177.00,218.00,122.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2019 01:31:00,108.00,3388.00,1898.00,591.00,280.00,189.00,230.00,131.00,64.00,APPROVED
CA: SAN DIEGO,01/01/2019 02:31:00,108.00,3341.00,1882.00,590.00,280.00,184.00,230.00,127.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2019 03:32:00,113.00,3454.00,1981.00,614.00,290.00,195.00,243.00,134.00,66.00,APPROVED
CA: SAN DIEGO,01/01/2019 04:32:00,117.00,3477.00,2017.00,626.00,299.00,197.00,245.00,139.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2019 05:32:00,108.00,3307.00,1839.00,571.00,273.00,184.00,224.00,131.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2019 06:32:00,100.00,3245.00,1769.00,549.00,262.00,173.00,218.00,121.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2019 07:33:00,100.00,3237.00,1781.00,548.00,263.00,173.00,222.00,121.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2019 08:33:00,100.00,3255.00,1817.00,550.00,263.00,177.00,218.00,125.00,64.00,APPROVED
CA: SAN DIEGO,01/01/2019 09:33:00,104.00,3245.00,1828.00,561.00,272.00,177.00,226.00,127.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2019 10:33:00,102.00,3268.00,1849.00,567.00,276.00,182.00,224.00,129.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2019 11:34:00,102.00,3268.00,1835.00,572.00,269.00,181.00,228.00,129.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2019 12:34:00,103.00,3260.00,1844.00,568.00,270.00,182.00,227.00,131.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2019 13:34:00,101.00,3275.00,1864.00,575.00,275.00,181.00,225.00,131.00,61.00,APPROVED
