LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/01/2009 00:56:00,,4659.00,1986.00,554.00,308.00,186.00,219.00,139.00,55.00,APPROVED
CA: SAN DIEGO,01/01/2009 01:56:00,,4667.00,1989.00,556.00,300.00,187.00,214.00,138.00,57.00,APPROVED
CA: SAN DIEGO,01/01/2009 02:56:00,,4686.00,1998.00,569.00,306.00,189.00,219.00,137.00,55.00,APPROVED
CA: SAN DIEGO,01/01/2009 03:56:00,,4796.00,2059.00,590.00,312.00,194.00,228.00,136.00,57.00,APPROVED
CA: SAN DIEGO,01/01/2009 04:57:00,,4871.00,2141.00,615.00,327.00,197.00,239.00,142.00,58.00,APPROVED
CA: SAN DIEGO,01/01/2009 05:57:00,,4922.00,2183.00,623.00,338.00,201.00,248.00,146.00,59.00,APPROVED
CA: SAN DIEGO,01/01/2009 06:57:00,,4984.00,2259.00,644.00,358.00,207.00,259.00,149.00,60.00,APPROVED
CA: SAN DIEGO,01/01/2009 07:57:00,,4985.00,2248.00,649.00,357.00,207.00,264.00,147.00,60.00,APPROVED
CA: SAN DIEGO,01/01/2009 08:57:00,,4940.00,2195.00,634.00,337.00,200.00,254.00,143.00,58.00,APPROVED
CA: SAN DIEGO,01/01/2009 09:58:00,,4912.00,2145.00,622.00,327.00,199.00,246.00,141.00,56.00,APPROVED
CA: SAN DIEGO,01/01/2009 10:58:00,,4961.00,2172.00,629.00,324.00,202.00,247.00,137.00,57.00,APPROVED
CA: SAN DIEGO,01/01/2009 16:59:00,,5154.00,2348.00,665.00,366.00,216.00,264.00,153.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2009 17:59:00,,5137.00,2299.00,652.00,368.00,211.00,259.00,157.00,64.00,APPROVED
CA: SAN DIEGO,01/01/2009 18:59:00,,4993.00,2226.00,626.00,358.00,205.00,243.00,152.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2009 19:59:00,,4850.00,2133.00,597.00,344.00,198.00,234.00,151.00,60.00,APPROVED
CA: SAN DIEGO,01/01/2009 21:00:00,,4834.00,2134.00,581.00,335.00,198.00,229.00,148.00,60.00,APPROVED
CA: SAN DIEGO,01/01/2009 22:00:00,,4863.00,2144.00,597.00,334.00,201.00,235.00,148.00,61.00,APPROVED
CA: SAN DIEGO,01/01/2009 23:00:00,,4848.00,2128.00,592.00,340.00,199.00,232.00,148.00,63.00,APPROVED
CA: SAN DIEGO,01/02/2009 00:00:00,,4852.00,2133.00,595.00,341.00,201.00,232.00,149.00,61.00,APPROVED
CA: SAN DIEGO,01/02/2009 01:00:00,,4831.00,2101.00,592.00,334.00,196.00,229.00,145.00,59.00,APPROVED
CA: SAN DIEGO,01/02/2009 02:01:00,,4825.00,2113.00,595.00,322.00,194.00,234.00,143.00,58.00,APPROVED
CA: SAN DIEGO,01/02/2009 03:01:00,,4824.00,2089.00,597.00,326.00,196.00,234.00,138.00,58.00,APPROVED
CA: SAN DIEGO,01/02/2009 04:01:00,,4858.00,2107.00,609.00,326.00,193.00,238.00,142.00,58.00,APPROVED
CA: SAN DIEGO,01/02/2009 05:01:00,,4885.00,2140.00,615.00,328.00,197.00,240.00,142.00,57.00,APPROVED
CA: SAN DIEGO,01/02/2009 06:01:00,,4891.00,2166.00,622.00,334.00,201.00,250.00,143.00,60.00,APPROVED
CA: SAN DIEGO,01/02/2009 07:02:00,,4977.00,2234.00,642.00,346.00,205.00,258.00,145.00,62.00,APPROVED
CA: SAN DIEGO,01/02/2009 08:02:00,,4944.00,2205.00,641.00,346.00,203.00,256.00,144.00,60.00,APPROVED
CA: SAN DIEGO,01/02/2009 09:02:00,,4921.00,2191.00,634.00,340.00,204.00,248.00,145.00,58.00,APPROVED
CA: SAN DIEGO,01/02/2009 10:02:00,,4940.00,2179.00,634.00,338.00,203.00,250.00,144.00,58.00,APPROVED
CA: SAN DIEGO,01/02/2009 11:02:00,,4947.00,2187.00,623.00,341.00,203.00,250.00,144.00,59.00,APPROVED
CA: SAN DIEGO,01/02/2009 12:03:00,,4867.00,2151.00,618.00,335.00,198.00,251.00,139.00,57.00,APPROVED
CA: SAN DIEGO,01/02/2009 13:03:00,,4703.00,2089.00,604.00,322.00,191.00,240.00,137.00,57.00,APPROVED
CA: SAN DIEGO,01/02/2009 14:03:00,,4679.00,2054.00,597.00,320.00,189.00,238.00,133.00,56.00,APPROVED
CA: SAN DIEGO,01/02/2009 15:03:00,,4599.00,2021.00,589.00,311.00,185.00,233.00,131.00,56.00,APPROVED
CA: SAN DIEGO,01/02/2009 16:03:00,,4557.00,1993.00,575.00,310.00,181.00,230.00,129.00,55.00,APPROVED
CA: SAN DIEGO,01/02/2009 17:04:00,,4521.00,1964.00,562.00,303.00,179.00,223.00,128.00,55.00,APPROVED
CA: SAN DIEGO,01/02/2009 18:04:00,,4492.00,1920.00,554.00,293.00,181.00,221.00,127.00,54.00,APPROVED
CA: SAN DIEGO,01/02/2009 19:04:00,,4481.00,1900.00,548.00,290.00,179.00,212.00,123.00,54.00,APPROVED
CA: SAN DIEGO,01/02/2009 20:04:00,,4496.00,1906.00,540.00,289.00,179.00,213.00,128.00,54.00,APPROVED
CA: SAN DIEGO,01/02/2009 21:04:00,,4508.00,1914.00,541.00,302.00,176.00,212.00,131.00,54.00,APPROVED
CA: SAN DIEGO,01/02/2009 22:05:00,,4538.00,1927.00,544.00,298.00,180.00,214.00,134.00,55.00,APPROVED
CA: SAN DIEGO,01/02/2009 23:05:00,,4608.00,1973.00,559.00,301.00,188.00,214.00,135.00,54.00,APPROVED
CA: SAN DIEGO,01/03/2009 00:05:00,,4601.00,1952.00,559.00,300.00,184.00,217.00,135.00,56.00,APPROVED
CA: SAN DIEGO,01/03/2009 01:05:00,,4574.00,1937.00,552.00,291.00,181.00,214.00,131.00,55.00,APPROVED
CA: SAN DIEGO,01/03/2009 02:05:00,,4621.00,1942.00,554.00,288.00,185.00,210.00,130.00,55.00,APPROVED
CA: SAN DIEGO,01/03/2009 03:05:00,,4701.00,1951.00,565.00,293.00,185.00,213.00,134.00,54.00,APPROVED
CA: SAN DIEGO,01/03/2009 04:06:00,,4721.00,1980.00,564.00,299.00,186.00,216.00,134.00,54.00,APPROVED
CA: SAN DIEGO,01/03/2009 05:06:00,,4709.00,1975.00,565.00,298.00,191.00,216.00,129.00,55.00,APPROVED
CA: SAN DIEGO,01/03/2009 06:06:00,,4700.00,1957.00,561.00,294.00,186.00,212.00,134.00,55.00,APPROVED
CA: SAN DIEGO,01/03/2009 07:06:00,,4678.00,1945.00,555.00,286.00,181.00,210.00,134.00,55.00,APPROVED
CA: SAN DIEGO,01/03/2009 08:06:00,,4649.00,1930.00,554.00,285.00,184.00,211.00,130.00,53.00,APPROVED
CA: SAN DIEGO,01/03/2009 09:07:00,,4675.00,1923.00,551.00,280.00,182.00,209.00,131.00,54.00,APPROVED
CA: SAN DIEGO,01/03/2009 10:07:00,,4658.00,1926.00,550.00,287.00,182.00,213.00,129.00,53.00,APPROVED
CA: SAN DIEGO,01/03/2009 11:07:00,,4667.00,1922.00,554.00,284.00,182.00,211.00,129.00,53.00,APPROVED
CA: SAN DIEGO,01/03/2009 12:07:00,,4670.00,1946.00,555.00,289.00,184.00,210.00,129.00,53.00,APPROVED
CA: SAN DIEGO,01/03/2009 13:07:00,,4705.00,1959.00,557.00,290.00,184.00,211.00,133.00,53.00,APPROVED
CA: SAN DIEGO,01/03/2009 14:08:00,,4761.00,1991.00,572.00,293.00,188.00,215.00,132.00,56.00,APPROVED
CA: SAN DIEGO,01/03/2009 15:08:00,,4754.00,1999.00,574.00,299.00,188.00,222.00,134.00,54.00,APPROVED
CA: SAN DIEGO,01/03/2009 16:08:00,,4732.00,1987.00,572.00,300.00,192.00,218.00,133.00,54.00,APPROVED
CA: SAN DIEGO,01/03/2009 17:08:00,,4718.00,1969.00,565.00,297.00,186.00,213.00,129.00,54.00,APPROVED
CA: SAN DIEGO,01/03/2009 18:08:00,,4673.00,1943.00,559.00,296.00,183.00,212.00,130.00,55.00,APPROVED
CA: SAN DIEGO,01/03/2009 19:09:00,,4584.00,1880.00,535.00,279.00,177.00,207.00,129.00,54.00,APPROVED
CA: SAN DIEGO,01/03/2009 20:09:00,,4548.00,1854.00,528.00,267.00,175.00,200.00,126.00,52.00,APPROVED
CA: SAN DIEGO,01/03/2009 21:09:00,,4552.00,1852.00,530.00,267.00,176.00,199.00,126.00,51.00,APPROVED
CA: SAN DIEGO,01/03/2009 22:09:00,,4535.00,1837.00,518.00,268.00,175.00,199.00,126.00,52.00,APPROVED
CA: SAN DIEGO,01/03/2009 23:09:00,,4537.00,1833.00,530.00,267.00,172.00,194.00,126.00,50.00,APPROVED
CA: SAN DIEGO,01/04/2009 00:10:00,,4561.00,1845.00,529.00,267.00,178.00,199.00,129.00,51.00,APPROVED
CA: SAN DIEGO,01/04/2009 01:10:00,,4567.00,1861.00,533.00,270.00,179.00,197.00,128.00,51.00,APPROVED
CA: SAN DIEGO,01/04/2009 02:10:00,,4582.00,1861.00,528.00,267.00,175.00,196.00,126.00,51.00,APPROVED
CA: SAN DIEGO,01/04/2009 03:10:00,,4562.00,1851.00,527.00,264.00,176.00,197.00,125.00,50.00,APPROVED
CA: SAN DIEGO,01/04/2009 04:10:00,,4571.00,1838.00,527.00,263.00,176.00,198.00,124.00,51.00,APPROVED
CA: SAN DIEGO,01/04/2009 05:11:00,,4562.00,1856.00,530.00,268.00,175.00,201.00,121.00,51.00,APPROVED
CA: SAN DIEGO,01/04/2009 06:11:00,,4580.00,1872.00,525.00,267.00,179.00,199.00,123.00,52.00,APPROVED
CA: SAN DIEGO,01/04/2009 07:11:00,,4570.00,1860.00,530.00,269.00,173.00,198.00,126.00,52.00,APPROVED
CA: SAN DIEGO,01/04/2009 08:11:00,,4597.00,1872.00,540.00,268.00,175.00,201.00,123.00,50.00,APPROVED
CA: SAN DIEGO,01/04/2009 09:11:00,,4614.00,1892.00,544.00,276.00,180.00,206.00,126.00,51.00,APPROVED
CA: SAN DIEGO,01/04/2009 10:12:00,,4608.00,1893.00,541.00,276.00,177.00,204.00,122.00,52.00,APPROVED
CA: SAN DIEGO,01/04/2009 11:12:00,,4624.00,1893.00,545.00,278.00,177.00,210.00,123.00,52.00,APPROVED
CA: SAN DIEGO,01/04/2009 12:12:00,,4615.00,1910.00,553.00,281.00,181.00,210.00,125.00,53.00,APPROVED
CA: SAN DIEGO,01/04/2009 13:12:00,,4666.00,1933.00,551.00,284.00,179.00,214.00,126.00,53.00,APPROVED
CA: SAN DIEGO,01/04/2009 14:12:00,,4699.00,1957.00,562.00,291.00,183.00,217.00,128.00,56.00,APPROVED
CA: SAN DIEGO,01/04/2009 15:13:00,,4733.00,2000.00,574.00,296.00,184.00,222.00,130.00,54.00,APPROVED
CA: SAN DIEGO,01/04/2009 16:13:00,,4746.00,2016.00,577.00,302.00,189.00,222.00,133.00,54.00,APPROVED
CA: SAN DIEGO,01/04/2009 17:13:00,,4728.00,2003.00,562.00,298.00,186.00,217.00,137.00,55.00,APPROVED
CA: SAN DIEGO,01/04/2009 18:13:00,,4675.00,1932.00,559.00,291.00,184.00,212.00,137.00,55.00,APPROVED
CA: SAN DIEGO,01/04/2009 19:13:00,,4654.00,1934.00,547.00,283.00,185.00,207.00,133.00,54.00,APPROVED
CA: SAN DIEGO,01/04/2009 20:13:00,,4661.00,1936.00,544.00,291.00,182.00,206.00,137.00,54.00,APPROVED
CA: SAN DIEGO,01/04/2009 21:14:00,,4665.00,1944.00,545.00,290.00,184.00,210.00,136.00,54.00,APPROVED
CA: SAN DIEGO,01/04/2009 22:14:00,,4688.00,1951.00,545.00,289.00,184.00,209.00,134.00,55.00,APPROVED
CA: SAN DIEGO,01/04/2009 23:14:00,,4670.00,1943.00,550.00,289.00,182.00,209.00,135.00,53.00,APPROVED
CA: SAN DIEGO,01/05/2009 00:14:00,,4669.00,1939.00,546.00,285.00,182.00,209.00,135.00,53.00,APPROVED
CA: SAN DIEGO,01/05/2009 01:14:00,,4650.00,1912.00,542.00,281.00,179.00,205.00,134.00,54.00,APPROVED
CA: SAN DIEGO,01/05/2009 02:15:00,,4662.00,1919.00,545.00,280.00,182.00,205.00,132.00,53.00,APPROVED
CA: SAN DIEGO,01/05/2009 03:15:00,,4651.00,1921.00,548.00,281.00,181.00,205.00,127.00,55.00,APPROVED
CA: SAN DIEGO,01/05/2009 04:15:00,,4654.00,1933.00,549.00,286.00,182.00,209.00,128.00,54.00,APPROVED
CA: SAN DIEGO,01/05/2009 05:15:00,,4686.00,1960.00,561.00,291.00,184.00,219.00,126.00,56.00,APPROVED
CA: SAN DIEGO,01/05/2009 06:15:00,,4689.00,1969.00,567.00,286.00,181.00,222.00,128.00,54.00,APPROVED
CA: SAN DIEGO,01/05/2009 17:18:00,,4357.00,1825.00,515.00,266.00,166.00,202.00,118.00,51.00,APPROVED
CA: SAN DIEGO,01/05/2009 18:18:00,,4329.00,1807.00,506.00,268.00,169.00,196.00,122.00,53.00,APPROVED
CA: SAN DIEGO,01/05/2009 19:18:00,,4256.00,1766.00,490.00,263.00,164.00,189.00,120.00,53.00,APPROVED
CA: SAN DIEGO,01/05/2009 20:17:00,,4290.00,1771.00,497.00,265.00,163.00,188.00,121.00,51.00,APPROVED
CA: SAN DIEGO,01/05/2009 21:36:00,,4287.00,1727.00,479.00,251.00,163.00,184.00,120.00,49.00,APPROVED
CA: SAN DIEGO,01/05/2009 22:36:00,,4298.00,1766.00,500.00,261.00,162.00,190.00,121.00,49.00,APPROVED
CA: SAN DIEGO,01/05/2009 23:36:00,,4342.00,1777.00,503.00,260.00,169.00,190.00,121.00,50.00,APPROVED
CA: SAN DIEGO,01/06/2009 00:37:00,,4407.00,1804.00,504.00,265.00,169.00,193.00,123.00,51.00,APPROVED
CA: SAN DIEGO,01/06/2009 01:37:00,,4459.00,1842.00,520.00,274.00,175.00,197.00,124.00,51.00,APPROVED
CA: SAN DIEGO,01/06/2009 02:37:00,,4538.00,1878.00,534.00,282.00,177.00,202.00,126.00,51.00,APPROVED
CA: SAN DIEGO,01/06/2009 03:37:00,,4568.00,1889.00,538.00,279.00,174.00,207.00,123.00,52.00,APPROVED
CA: SAN DIEGO,01/06/2009 04:37:00,,4621.00,1922.00,549.00,286.00,181.00,213.00,126.00,53.00,APPROVED
CA: SAN DIEGO,01/06/2009 05:38:00,,4795.00,2002.00,570.00,296.00,188.00,219.00,134.00,53.00,APPROVED
CA: SAN DIEGO,01/06/2009 06:38:00,,4786.00,2006.00,568.00,300.00,186.00,219.00,132.00,54.00,APPROVED
CA: SAN DIEGO,01/06/2009 07:38:00,,4759.00,1999.00,570.00,296.00,188.00,222.00,131.00,54.00,APPROVED
CA: SAN DIEGO,01/06/2009 08:38:00,,4735.00,1977.00,563.00,299.00,185.00,221.00,129.00,53.00,APPROVED
CA: SAN DIEGO,01/06/2009 09:38:00,,4736.00,1980.00,568.00,292.00,187.00,223.00,129.00,56.00,APPROVED
CA: SAN DIEGO,01/06/2009 10:39:00,,4724.00,1983.00,574.00,290.00,186.00,219.00,128.00,53.00,APPROVED
CA: SAN DIEGO,01/06/2009 11:39:00,,4723.00,1979.00,569.00,297.00,183.00,220.00,127.00,53.00,APPROVED
CA: SAN DIEGO,01/06/2009 12:39:00,,4543.00,1918.00,544.00,283.00,173.00,216.00,118.00,52.00,APPROVED
CA: SAN DIEGO,01/06/2009 13:39:00,,4454.00,1859.00,531.00,273.00,172.00,211.00,116.00,53.00,APPROVED
CA: SAN DIEGO,01/06/2009 14:39:00,,4425.00,1874.00,543.00,274.00,179.00,215.00,117.00,52.00,APPROVED
CA: SAN DIEGO,01/06/2009 15:40:00,,4431.00,1875.00,541.00,286.00,175.00,216.00,121.00,52.00,APPROVED
CA: SAN DIEGO,01/06/2009 16:40:00,,4433.00,1899.00,539.00,289.00,169.00,214.00,125.00,53.00,APPROVED
CA: SAN DIEGO,01/06/2009 17:40:00,,4389.00,1846.00,520.00,280.00,170.00,204.00,125.00,52.00,APPROVED
CA: SAN DIEGO,01/06/2009 18:40:00,,4305.00,1793.00,506.00,268.00,167.00,191.00,123.00,52.00,APPROVED
CA: SAN DIEGO,01/06/2009 19:40:00,,4293.00,1791.00,495.00,272.00,166.00,190.00,124.00,52.00,APPROVED
CA: SAN DIEGO,01/06/2009 20:41:00,,4248.00,1769.00,494.00,267.00,163.00,190.00,123.00,52.00,APPROVED
CA: SAN DIEGO,01/06/2009 21:41:00,,4280.00,1782.00,499.00,267.00,167.00,190.00,125.00,52.00,APPROVED
CA: SAN DIEGO,01/06/2009 22:41:00,,4349.00,1814.00,506.00,269.00,166.00,192.00,126.00,52.00,APPROVED
CA: SAN DIEGO,01/06/2009 23:41:00,,4318.00,1789.00,503.00,268.00,164.00,193.00,122.00,50.00,APPROVED
CA: SAN DIEGO,01/07/2009 00:41:00,,4410.00,1823.00,511.00,270.00,173.00,196.00,127.00,52.00,APPROVED
CA: SAN DIEGO,01/07/2009 01:42:00,,4503.00,1858.00,524.00,269.00,175.00,196.00,125.00,54.00,APPROVED
CA: SAN DIEGO,01/07/2009 02:42:00,,4524.00,1863.00,529.00,277.00,173.00,199.00,125.00,53.00,APPROVED
CA: SAN DIEGO,01/07/2009 03:42:00,,4575.00,1885.00,533.00,278.00,179.00,202.00,126.00,52.00,APPROVED
CA: SAN DIEGO,01/07/2009 04:42:00,,4683.00,1973.00,566.00,290.00,183.00,216.00,132.00,51.00,APPROVED
CA: SAN DIEGO,01/07/2009 05:42:00,,4748.00,1996.00,573.00,301.00,184.00,221.00,131.00,54.00,APPROVED
CA: SAN DIEGO,01/07/2009 06:42:00,,4762.00,2026.00,580.00,304.00,189.00,227.00,131.00,56.00,APPROVED
CA: SAN DIEGO,01/07/2009 07:43:00,,4773.00,2032.00,587.00,301.00,188.00,231.00,132.00,56.00,APPROVED
CA: SAN DIEGO,01/07/2009 08:43:00,,4752.00,2021.00,578.00,304.00,186.00,231.00,135.00,55.00,APPROVED
CA: SAN DIEGO,01/07/2009 09:43:00,,4770.00,2016.00,580.00,302.00,187.00,228.00,131.00,54.00,APPROVED
CA: SAN DIEGO,01/07/2009 10:43:00,,4870.00,2088.00,594.00,313.00,195.00,238.00,132.00,57.00,APPROVED
CA: SAN DIEGO,01/07/2009 11:43:00,,4854.00,2096.00,609.00,317.00,194.00,239.00,134.00,58.00,APPROVED
CA: SAN DIEGO,01/07/2009 12:44:00,,4653.00,2023.00,585.00,312.00,186.00,230.00,130.00,56.00,APPROVED
CA: SAN DIEGO,01/07/2009 13:44:00,,4635.00,2039.00,584.00,307.00,184.00,232.00,131.00,57.00,APPROVED
CA: SAN DIEGO,01/07/2009 14:44:00,,4641.00,2047.00,582.00,311.00,182.00,229.00,130.00,55.00,APPROVED
CA: SAN DIEGO,01/07/2009 15:44:00,,4634.00,2036.00,583.00,313.00,184.00,230.00,134.00,55.00,APPROVED
CA: SAN DIEGO,01/07/2009 16:44:00,,4636.00,2018.00,572.00,317.00,183.00,222.00,135.00,57.00,APPROVED
CA: SAN DIEGO,01/07/2009 17:45:00,,4519.00,1981.00,559.00,314.00,184.00,218.00,136.00,56.00,APPROVED
CA: SAN DIEGO,01/07/2009 18:45:00,,4346.00,1869.00,518.00,293.00,169.00,200.00,133.00,55.00,APPROVED
CA: SAN DIEGO,01/07/2009 20:45:00,,4254.00,1830.00,514.00,284.00,169.00,195.00,128.00,55.00,APPROVED
CA: SAN DIEGO,01/07/2009 21:45:00,,4291.00,1833.00,509.00,279.00,166.00,196.00,129.00,55.00,APPROVED
CA: SAN DIEGO,01/07/2009 22:46:00,,4324.00,1842.00,516.00,282.00,168.00,199.00,128.00,54.00,APPROVED
CA: SAN DIEGO,01/07/2009 23:46:00,,4462.00,1923.00,537.00,293.00,179.00,205.00,131.00,57.00,APPROVED
CA: SAN DIEGO,01/08/2009 00:46:00,,4555.00,1939.00,543.00,305.00,180.00,211.00,136.00,55.00,APPROVED
CA: SAN DIEGO,01/08/2009 01:46:00,,4639.00,1992.00,557.00,305.00,185.00,216.00,137.00,56.00,APPROVED
CA: SAN DIEGO,01/08/2009 02:46:00,,4693.00,1984.00,557.00,304.00,184.00,214.00,135.00,56.00,APPROVED
CA: SAN DIEGO,01/08/2009 03:47:00,,4680.00,1988.00,562.00,304.00,186.00,216.00,136.00,56.00,APPROVED
CA: SAN DIEGO,01/08/2009 04:47:00,,4769.00,2024.00,581.00,310.00,187.00,223.00,138.00,55.00,APPROVED
CA: SAN DIEGO,01/08/2009 05:47:00,,4855.00,2085.00,587.00,316.00,198.00,227.00,140.00,57.00,APPROVED
CA: SAN DIEGO,01/08/2009 06:47:00,,4929.00,2149.00,618.00,329.00,203.00,239.00,146.00,57.00,APPROVED
CA: SAN DIEGO,01/08/2009 07:47:00,,4971.00,2229.00,641.00,352.00,205.00,253.00,150.00,59.00,APPROVED
CA: SAN DIEGO,01/08/2009 08:48:00,,5028.00,2255.00,647.00,357.00,212.00,262.00,149.00,61.00,APPROVED
CA: SAN DIEGO,01/08/2009 09:48:00,,5081.00,2328.00,670.00,377.00,212.00,269.00,156.00,63.00,APPROVED
CA: SAN DIEGO,01/08/2009 10:48:00,,5124.00,2363.00,683.00,377.00,215.00,273.00,156.00,63.00,APPROVED
CA: SAN DIEGO,01/08/2009 11:48:00,,5093.00,2326.00,671.00,371.00,213.00,271.00,155.00,62.00,APPROVED
CA: SAN DIEGO,01/08/2009 12:48:00,,4847.00,2221.00,637.00,350.00,202.00,258.00,147.00,61.00,APPROVED
CA: SAN DIEGO,01/08/2009 13:48:00,,4776.00,2173.00,629.00,345.00,198.00,249.00,143.00,59.00,APPROVED
CA: SAN DIEGO,01/08/2009 14:49:00,,4762.00,2159.00,624.00,337.00,193.00,249.00,140.00,61.00,APPROVED
CA: SAN DIEGO,01/08/2009 15:49:00,,4756.00,2142.00,605.00,334.00,188.00,239.00,142.00,59.00,APPROVED
CA: SAN DIEGO,01/08/2009 16:49:00,,4662.00,2104.00,592.00,339.00,190.00,234.00,144.00,59.00,APPROVED
CA: SAN DIEGO,01/08/2009 17:49:00,,4587.00,2059.00,569.00,333.00,185.00,227.00,141.00,60.00,APPROVED
CA: SAN DIEGO,01/08/2009 18:49:00,,4497.00,2009.00,555.00,325.00,185.00,222.00,139.00,58.00,APPROVED
CA: SAN DIEGO,01/08/2009 19:50:00,,4471.00,1990.00,550.00,323.00,183.00,219.00,141.00,59.00,APPROVED
CA: SAN DIEGO,01/08/2009 20:50:00,,4543.00,2018.00,560.00,329.00,187.00,221.00,140.00,60.00,APPROVED
