LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,03/20/2011 01:52:00,,3254.00,1672.00,486.00,235.00,160.00,185.00,114.00,49.00,APPROVED
CA: SAN DIEGO,03/20/2011 02:52:00,,3310.00,1697.00,496.00,240.00,163.00,188.00,114.00,48.00,APPROVED
CA: SAN DIEGO,03/20/2011 17:31:00,,2972.00,1544.00,470.00,218.00,151.00,183.00,104.00,46.00,APPROVED
CA: SAN DIEGO,03/20/2011 18:31:00,,3195.00,1664.00,490.00,240.00,164.00,187.00,106.00,47.00,APPROVED
CA: SAN DIEGO,03/20/2011 19:32:00,,3305.00,1717.00,498.00,239.00,162.00,188.00,112.00,47.00,APPROVED
CA: SAN DIEGO,03/20/2011 20:32:00,,3316.00,1720.00,494.00,237.00,166.00,191.00,111.00,50.00,APPROVED
CA: SAN DIEGO,03/25/2011 21:19:00,,3198.00,1670.00,472.00,233.00,153.00,179.00,107.00,47.00,APPROVED
CA: SAN DIEGO,03/25/2011 22:19:00,,3235.00,1697.00,481.00,238.00,156.00,180.00,110.00,48.00,APPROVED
CA: SAN DIEGO,03/25/2011 23:20:00,,3192.00,1679.00,474.00,231.00,155.00,176.00,112.00,48.00,APPROVED
CA: SAN DIEGO,03/26/2011 00:20:00,,3202.00,1677.00,473.00,234.00,153.00,175.00,109.00,47.00,APPROVED
CA: SAN DIEGO,03/26/2011 01:20:00,,3212.00,1669.00,477.00,234.00,155.00,176.00,106.00,48.00,APPROVED
CA: SAN DIEGO,03/26/2011 02:20:00,,3210.00,1674.00,474.00,230.00,151.00,175.00,105.00,46.00,APPROVED
CA: SAN DIEGO,03/29/2011 16:38:00,,3250.00,1716.00,499.00,244.00,157.00,191.00,108.00,48.00,APPROVED
CA: SAN DIEGO,03/29/2011 17:38:00,,3242.00,1723.00,498.00,242.00,158.00,185.00,111.00,47.00,APPROVED
CA: SAN DIEGO,03/29/2011 18:38:00,,3211.00,1722.00,492.00,242.00,157.00,185.00,113.00,49.00,APPROVED
CA: SAN DIEGO,03/29/2011 19:38:00,,3194.00,1720.00,490.00,248.00,156.00,185.00,117.00,49.00,APPROVED
CA: SAN DIEGO,03/29/2011 20:38:00,,3237.00,1736.00,496.00,254.00,159.00,183.00,121.00,47.00,APPROVED
CA: SAN DIEGO,03/29/2011 21:39:00,,3279.00,1775.00,500.00,258.00,162.00,185.00,117.00,50.00,APPROVED
CA: SAN DIEGO,03/29/2011 22:39:00,,3280.00,1770.00,507.00,253.00,162.00,183.00,121.00,49.00,APPROVED
CA: SAN DIEGO,03/29/2011 23:39:00,,3288.00,1754.00,503.00,252.00,160.00,182.00,119.00,48.00,APPROVED
CA: SAN DIEGO,03/30/2011 00:39:00,,3288.00,1758.00,500.00,250.00,162.00,186.00,119.00,47.00,APPROVED
CA: SAN DIEGO,03/30/2011 01:39:00,,3311.00,1772.00,507.00,245.00,164.00,187.00,120.00,50.00,APPROVED
CA: SAN DIEGO,03/30/2011 02:40:00,,3332.00,1755.00,504.00,249.00,161.00,184.00,116.00,48.00,APPROVED
CA: SAN DIEGO,03/30/2011 03:40:00,,3354.00,1759.00,506.00,247.00,163.00,188.00,113.00,49.00,APPROVED
CA: SAN DIEGO,03/30/2011 04:40:00,,3447.00,1802.00,524.00,250.00,168.00,196.00,113.00,50.00,APPROVED
CA: SAN DIEGO,03/30/2011 05:40:00,,3471.00,1827.00,523.00,255.00,172.00,201.00,114.00,52.00,APPROVED
CA: SAN DIEGO,03/30/2011 06:40:00,,3502.00,1885.00,549.00,268.00,174.00,209.00,116.00,50.00,APPROVED
CA: SAN DIEGO,03/30/2011 07:41:00,,3542.00,1935.00,565.00,276.00,175.00,216.00,119.00,54.00,APPROVED
CA: SAN DIEGO,03/30/2011 08:41:00,,3610.00,2007.00,589.00,287.00,187.00,228.00,123.00,54.00,APPROVED
CA: SAN DIEGO,03/30/2011 09:41:00,,3653.00,2062.00,607.00,299.00,190.00,239.00,125.00,54.00,APPROVED
CA: SAN DIEGO,03/30/2011 10:41:00,,3634.00,2074.00,613.00,303.00,191.00,238.00,125.00,55.00,APPROVED
CA: SAN DIEGO,03/30/2011 11:41:00,,3563.00,2015.00,602.00,292.00,184.00,235.00,123.00,54.00,APPROVED
CA: SAN DIEGO,03/30/2011 12:42:00,,3457.00,1956.00,580.00,283.00,179.00,230.00,119.00,54.00,APPROVED
CA: SAN DIEGO,03/30/2011 13:42:00,,3436.00,1919.00,580.00,277.00,173.00,219.00,113.00,52.00,APPROVED
CA: SAN DIEGO,03/30/2011 14:42:00,,3453.00,1967.00,582.00,279.00,174.00,225.00,116.00,55.00,APPROVED
CA: SAN DIEGO,03/30/2011 15:42:00,,3450.00,1972.00,580.00,284.00,176.00,222.00,123.00,54.00,APPROVED
CA: SAN DIEGO,03/30/2011 17:11:00,,3267.00,1707.00,491.00,237.00,154.00,185.00,109.00,47.00,APPROVED
CA: SAN DIEGO,03/30/2011 18:11:00,,3283.00,1770.00,499.00,255.00,163.00,188.00,122.00,50.00,APPROVED
CA: SAN DIEGO,03/30/2011 19:11:00,,3245.00,1768.00,500.00,260.00,163.00,186.00,120.00,50.00,APPROVED
CA: SAN DIEGO,03/30/2011 20:12:00,,3253.00,1758.00,500.00,258.00,165.00,191.00,127.00,49.00,APPROVED
CA: SAN DIEGO,03/30/2011 21:12:00,,3361.00,1840.00,517.00,267.00,170.00,195.00,131.00,51.00,APPROVED
CA: SAN DIEGO,03/30/2011 22:12:00,,3372.00,1831.00,520.00,269.00,170.00,193.00,130.00,52.00,APPROVED
CA: SAN DIEGO,03/30/2011 23:12:00,,3377.00,1843.00,522.00,266.00,173.00,194.00,131.00,53.00,APPROVED
CA: SAN DIEGO,03/31/2011 00:12:00,,3379.00,1824.00,518.00,265.00,170.00,192.00,125.00,50.00,APPROVED
CA: SAN DIEGO,03/31/2011 01:13:00,,3385.00,1826.00,517.00,266.00,169.00,192.00,127.00,51.00,APPROVED
CA: SAN DIEGO,03/31/2011 02:13:00,,3410.00,1819.00,518.00,266.00,166.00,197.00,128.00,50.00,APPROVED
CA: SAN DIEGO,03/31/2011 03:13:00,,3413.00,1827.00,520.00,258.00,168.00,195.00,125.00,50.00,APPROVED
CA: SAN DIEGO,03/31/2011 04:13:00,,3421.00,1832.00,526.00,258.00,168.00,196.00,127.00,50.00,APPROVED
CA: SAN DIEGO,03/31/2011 05:13:00,,3501.00,1887.00,536.00,268.00,177.00,203.00,128.00,51.00,APPROVED
CA: SAN DIEGO,03/31/2011 06:14:00,,3537.00,1940.00,559.00,279.00,180.00,213.00,127.00,52.00,APPROVED
CA: SAN DIEGO,03/31/2011 07:14:00,,3535.00,1925.00,556.00,283.00,179.00,213.00,130.00,54.00,APPROVED
CA: SAN DIEGO,03/31/2011 08:14:00,,3530.00,1931.00,557.00,279.00,181.00,213.00,129.00,53.00,APPROVED
CA: SAN DIEGO,03/31/2011 09:14:00,,3545.00,1947.00,565.00,277.00,180.00,214.00,130.00,52.00,APPROVED
CA: SAN DIEGO,03/31/2011 10:14:00,,3564.00,1953.00,567.00,279.00,179.00,218.00,127.00,51.00,APPROVED
CA: SAN DIEGO,03/31/2011 11:15:00,,3588.00,1966.00,569.00,279.00,181.00,220.00,128.00,53.00,APPROVED
CA: SAN DIEGO,03/31/2011 12:15:00,,3601.00,1978.00,574.00,286.00,182.00,222.00,127.00,53.00,APPROVED
CA: SAN DIEGO,03/31/2011 13:15:00,,3632.00,2000.00,579.00,287.00,186.00,220.00,129.00,54.00,APPROVED
CA: SAN DIEGO,03/31/2011 14:15:00,,3634.00,2015.00,585.00,291.00,182.00,228.00,130.00,54.00,APPROVED
CA: SAN DIEGO,03/31/2011 15:15:00,,3633.00,2015.00,586.00,293.00,185.00,224.00,128.00,55.00,APPROVED
CA: SAN DIEGO,03/31/2011 16:16:00,,3582.00,1990.00,580.00,292.00,182.00,221.00,135.00,54.00,APPROVED
CA: SAN DIEGO,03/31/2011 17:16:00,,3531.00,1971.00,559.00,291.00,180.00,211.00,140.00,53.00,APPROVED
CA: SAN DIEGO,03/31/2011 18:16:00,,3462.00,1938.00,547.00,294.00,183.00,209.00,136.00,55.00,APPROVED
CA: SAN DIEGO,03/31/2011 19:16:00,,3415.00,1930.00,547.00,294.00,181.00,212.00,139.00,56.00,APPROVED
CA: SAN DIEGO,03/31/2011 20:16:00,,3359.00,1901.00,537.00,287.00,179.00,209.00,137.00,55.00,APPROVED
CA: SAN DIEGO,03/31/2011 21:16:00,,3359.00,1872.00,532.00,285.00,178.00,203.00,136.00,55.00,APPROVED
CA: SAN DIEGO,03/31/2011 22:17:00,,3352.00,1875.00,531.00,277.00,174.00,201.00,132.00,54.00,APPROVED
CA: SAN DIEGO,03/31/2011 23:17:00,,3357.00,1875.00,528.00,280.00,176.00,200.00,136.00,54.00,APPROVED
CA: SAN DIEGO,04/01/2011 00:17:00,,3377.00,1872.00,525.00,276.00,175.00,196.00,134.00,53.00,APPROVED
CA: SAN DIEGO,04/01/2011 01:17:00,,3389.00,1870.00,528.00,273.00,176.00,197.00,134.00,53.00,APPROVED
CA: SAN DIEGO,04/01/2011 02:17:00,,3402.00,1860.00,523.00,271.00,174.00,195.00,134.00,52.00,APPROVED
CA: SAN DIEGO,04/01/2011 03:18:00,,3447.00,1878.00,529.00,267.00,174.00,197.00,129.00,53.00,APPROVED
CA: SAN DIEGO,04/01/2011 04:18:00,,3462.00,1868.00,535.00,269.00,170.00,196.00,131.00,54.00,APPROVED
CA: SAN DIEGO,04/01/2011 05:18:00,,3507.00,1926.00,548.00,279.00,177.00,203.00,130.00,53.00,APPROVED
CA: SAN DIEGO,04/01/2011 06:18:00,,3574.00,1996.00,567.00,293.00,183.00,212.00,136.00,53.00,APPROVED
CA: SAN DIEGO,04/01/2011 07:18:00,,3552.00,1992.00,574.00,294.00,181.00,217.00,138.00,53.00,APPROVED
CA: SAN DIEGO,04/01/2011 08:19:00,,3543.00,1962.00,567.00,284.00,179.00,218.00,134.00,54.00,APPROVED
CA: SAN DIEGO,04/01/2011 09:19:00,,3581.00,1996.00,572.00,289.00,181.00,215.00,134.00,55.00,APPROVED
CA: SAN DIEGO,04/01/2011 10:19:00,,3621.00,2028.00,580.00,296.00,184.00,222.00,135.00,56.00,APPROVED
CA: SAN DIEGO,04/01/2011 11:19:00,,3642.00,2031.00,592.00,300.00,188.00,226.00,131.00,53.00,APPROVED
CA: SAN DIEGO,04/01/2011 12:19:00,,3504.00,1946.00,562.00,282.00,179.00,215.00,125.00,52.00,APPROVED
CA: SAN DIEGO,04/01/2011 13:20:00,,3461.00,1923.00,550.00,279.00,174.00,211.00,126.00,53.00,APPROVED
CA: SAN DIEGO,04/01/2011 14:20:00,,3478.00,1944.00,566.00,278.00,171.00,215.00,123.00,51.00,APPROVED
CA: SAN DIEGO,04/01/2011 15:20:00,,3528.00,1991.00,572.00,289.00,182.00,218.00,130.00,54.00,APPROVED
CA: SAN DIEGO,04/01/2011 16:20:00,,3430.00,1932.00,551.00,287.00,175.00,213.00,133.00,56.00,APPROVED
CA: SAN DIEGO,04/01/2011 17:20:00,,3374.00,1899.00,541.00,289.00,173.00,203.00,131.00,54.00,APPROVED
CA: SAN DIEGO,04/01/2011 18:21:00,,3313.00,1852.00,526.00,281.00,172.00,197.00,132.00,52.00,APPROVED
