LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/01/2013 00:50:00,,3879.00,2047.00,584.00,288.00,188.00,208.00,131.00,55.00,APPROVED
CA: SAN DIEGO,01/01/2013 01:50:00,,3864.00,2030.00,580.00,287.00,184.00,209.00,131.00,52.00,APPROVED
CA: SAN DIEGO,01/01/2013 02:51:00,,3862.00,2020.00,587.00,282.00,183.00,213.00,126.00,52.00,APPROVED
CA: SAN DIEGO,01/01/2013 03:51:00,,3858.00,2009.00,591.00,285.00,185.00,217.00,117.00,52.00,APPROVED
CA: SAN DIEGO,01/01/2013 04:51:00,,3843.00,2002.00,596.00,275.00,186.00,225.00,114.00,53.00,APPROVED
CA: SAN DIEGO,01/01/2013 05:51:00,,3838.00,1998.00,587.00,280.00,181.00,226.00,112.00,55.00,APPROVED
CA: SAN DIEGO,01/01/2013 06:51:00,,3844.00,1989.00,585.00,278.00,183.00,226.00,111.00,52.00,APPROVED
CA: SAN DIEGO,01/01/2013 07:52:00,,3844.00,2012.00,593.00,277.00,181.00,226.00,111.00,52.00,APPROVED
CA: SAN DIEGO,01/01/2013 08:52:00,,3853.00,2028.00,592.00,282.00,185.00,228.00,112.00,54.00,APPROVED
CA: SAN DIEGO,01/01/2013 09:52:00,,3845.00,2027.00,594.00,283.00,183.00,222.00,110.00,54.00,APPROVED
CA: SAN DIEGO,01/01/2013 10:53:00,,3896.00,2050.00,602.00,283.00,188.00,227.00,113.00,52.00,APPROVED
CA: SAN DIEGO,01/01/2013 11:53:00,,3866.00,2040.00,598.00,283.00,182.00,228.00,114.00,55.00,APPROVED
CA: SAN DIEGO,01/01/2013 12:53:00,,3892.00,2057.00,596.00,283.00,183.00,229.00,115.00,53.00,APPROVED
CA: SAN DIEGO,01/01/2013 13:53:00,,3885.00,2050.00,607.00,288.00,186.00,225.00,120.00,54.00,APPROVED
CA: SAN DIEGO,01/01/2013 14:53:00,,3875.00,2056.00,604.00,290.00,185.00,228.00,119.00,54.00,APPROVED
CA: SAN DIEGO,01/01/2013 15:54:00,,3893.00,2064.00,607.00,285.00,186.00,232.00,118.00,55.00,APPROVED
CA: SAN DIEGO,01/01/2013 16:54:00,,3935.00,2085.00,607.00,289.00,189.00,229.00,122.00,54.00,APPROVED
