LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,06/12/2006 19:02:00,,151.00,89.00,35.00,36.00,136.00,799.00,3359.00,699.00,APPROVED
CA: SAN DIEGO,06/12/2006 20:03:00,,152.00,94.00,36.00,36.00,145.00,832.00,3380.00,713.00,APPROVED
CA: SAN DIEGO,06/12/2006 21:03:00,,155.00,94.00,35.00,33.00,151.00,849.00,3433.00,732.00,APPROVED
CA: SAN DIEGO,06/12/2006 22:03:00,,156.00,97.00,38.00,35.00,154.00,861.00,3462.00,737.00,APPROVED
CA: SAN DIEGO,06/12/2006 23:03:00,,161.00,98.00,38.00,37.00,158.00,883.00,3537.00,756.00,APPROVED
CA: SAN DIEGO,06/13/2006 00:03:00,,165.00,101.00,37.00,37.00,160.00,895.00,3580.00,769.00,APPROVED
CA: SAN DIEGO,06/13/2006 01:04:00,,164.00,103.00,39.00,37.00,160.00,905.00,3613.00,772.00,APPROVED
CA: SAN DIEGO,06/13/2006 02:04:00,,165.00,101.00,37.00,36.00,160.00,899.00,3651.00,782.00,APPROVED
CA: SAN DIEGO,06/13/2006 03:04:00,,168.00,104.00,39.00,37.00,161.00,912.00,3688.00,789.00,APPROVED
CA: SAN DIEGO,06/13/2006 04:04:00,,168.00,103.00,36.00,37.00,162.00,910.00,3691.00,786.00,APPROVED
CA: SAN DIEGO,06/13/2006 05:04:00,,167.00,105.00,36.00,37.00,161.00,914.00,3693.00,791.00,APPROVED
CA: SAN DIEGO,06/13/2006 06:05:00,,167.00,102.00,36.00,36.00,163.00,905.00,3726.00,796.00,APPROVED
CA: SAN DIEGO,06/13/2006 07:05:00,,171.00,105.00,38.00,39.00,165.00,929.00,3718.00,798.00,APPROVED
CA: SAN DIEGO,06/13/2006 08:05:00,,170.00,106.00,38.00,38.00,165.00,925.00,3731.00,807.00,APPROVED
CA: SAN DIEGO,06/13/2006 09:05:00,,174.00,107.00,37.00,40.00,167.00,943.00,3721.00,802.00,APPROVED
CA: SAN DIEGO,06/13/2006 10:05:00,,170.00,108.00,37.00,38.00,165.00,934.00,3738.00,806.00,APPROVED
CA: SAN DIEGO,06/13/2006 11:06:00,,171.00,104.00,37.00,39.00,165.00,929.00,3717.00,803.00,APPROVED
CA: SAN DIEGO,06/13/2006 12:06:00,,169.00,102.00,37.00,38.00,164.00,922.00,3706.00,796.00,APPROVED
CA: SAN DIEGO,06/13/2006 13:06:00,,162.00,97.00,37.00,38.00,154.00,887.00,3617.00,772.00,APPROVED
CA: SAN DIEGO,06/13/2006 14:06:00,,159.00,99.00,38.00,38.00,154.00,879.00,3559.00,768.00,APPROVED
CA: SAN DIEGO,06/13/2006 15:06:00,,161.00,98.00,37.00,38.00,154.00,880.00,3547.00,754.00,APPROVED
CA: SAN DIEGO,06/13/2006 16:07:00,,163.00,99.00,37.00,39.00,155.00,885.00,3544.00,760.00,APPROVED
CA: SAN DIEGO,06/13/2006 17:07:00,,159.00,95.00,37.00,37.00,149.00,862.00,3492.00,744.00,APPROVED
CA: SAN DIEGO,06/13/2006 18:07:00,,159.00,95.00,36.00,37.00,149.00,868.00,3446.00,739.00,APPROVED
