LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/01/2021 00:01:00,103.00,3429.00,1845.00,567.00,274.00,180.00,227.00,125.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2021 01:01:00,103.00,3447.00,1845.00,558.00,274.00,184.00,222.00,129.00,64.00,APPROVED
CA: SAN DIEGO,01/01/2021 02:02:00,104.00,3450.00,1848.00,559.00,275.00,181.00,223.00,131.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2021 03:02:00,101.00,3453.00,1871.00,561.00,276.00,181.00,228.00,131.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2021 04:02:00,106.00,3488.00,1912.00,583.00,283.00,183.00,233.00,133.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2021 05:02:00,104.00,3488.00,1916.00,586.00,286.00,186.00,237.00,132.00,66.00,APPROVED
CA: SAN DIEGO,01/01/2021 06:03:00,105.00,3516.00,1931.00,589.00,288.00,186.00,239.00,134.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2021 07:03:00,105.00,3527.00,1951.00,588.00,290.00,187.00,238.00,133.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2021 08:03:00,104.00,3524.00,1940.00,588.00,288.00,185.00,238.00,131.00,66.00,APPROVED
CA: SAN DIEGO,01/01/2021 09:03:00,104.00,3521.00,1933.00,590.00,289.00,187.00,239.00,131.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2021 10:04:00,107.00,3516.00,1928.00,590.00,293.00,186.00,238.00,132.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2021 11:04:00,109.00,3521.00,1940.00,592.00,289.00,185.00,237.00,130.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2021 12:04:00,106.00,3513.00,1954.00,590.00,290.00,192.00,234.00,135.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2021 13:04:00,109.00,3547.00,1990.00,599.00,295.00,189.00,238.00,136.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2021 14:04:00,108.00,3578.00,1993.00,609.00,301.00,190.00,248.00,138.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2021 15:05:00,106.00,3534.00,1972.00,600.00,299.00,188.00,244.00,138.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2021 16:05:00,108.00,3585.00,1994.00,608.00,297.00,194.00,245.00,134.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2021 17:05:00,110.00,3631.00,2042.00,621.00,305.00,195.00,251.00,140.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2021 18:05:00,107.00,3533.00,1964.00,602.00,296.00,192.00,245.00,139.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2021 19:06:00,112.00,3540.00,1936.00,592.00,287.00,186.00,236.00,133.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2021 20:06:00,107.00,3531.00,1928.00,586.00,286.00,188.00,239.00,132.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2021 21:06:00,103.00,3485.00,1905.00,580.00,285.00,187.00,233.00,135.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2021 22:06:00,104.00,3459.00,1888.00,577.00,283.00,183.00,226.00,138.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2021 23:07:00,104.00,3422.00,1844.00,561.00,279.00,182.00,223.00,133.00,65.00,APPROVED
CA: SAN DIEGO,01/02/2021 00:07:00,102.00,3424.00,1844.00,561.00,270.00,180.00,223.00,130.00,66.00,APPROVED
