LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/01/2018 00:26:00,109.00,3543.00,2048.00,627.00,309.00,202.00,240.00,151.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2018 01:26:00,108.00,3557.00,2066.00,637.00,307.00,199.00,245.00,148.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2018 02:26:00,107.00,3580.00,2083.00,647.00,305.00,203.00,255.00,147.00,70.00,APPROVED
CA: SAN DIEGO,01/01/2018 03:26:00,110.00,3626.00,2132.00,668.00,316.00,206.00,261.00,148.00,69.00,APPROVED
CA: SAN DIEGO,01/01/2018 04:27:00,111.00,3673.00,2188.00,693.00,326.00,212.00,275.00,148.00,70.00,APPROVED
CA: SAN DIEGO,01/01/2018 05:27:00,110.00,3812.00,2361.00,752.00,354.00,225.00,303.00,158.00,72.00,APPROVED
CA: SAN DIEGO,01/01/2018 06:27:00,108.00,3825.00,2407.00,770.00,367.00,229.00,309.00,165.00,74.00,APPROVED
CA: SAN DIEGO,01/01/2018 07:27:00,109.00,3831.00,2428.00,780.00,375.00,231.00,315.00,169.00,73.00,APPROVED
CA: SAN DIEGO,01/01/2018 08:28:00,113.00,3844.00,2458.00,785.00,374.00,231.00,316.00,165.00,76.00,APPROVED
CA: SAN DIEGO,01/01/2018 09:28:00,109.00,3839.00,2479.00,788.00,382.00,239.00,327.00,174.00,76.00,APPROVED
CA: SAN DIEGO,01/01/2018 10:28:00,110.00,3774.00,2373.00,752.00,361.00,228.00,305.00,163.00,77.00,APPROVED
CA: SAN DIEGO,01/01/2018 11:28:00,112.00,3818.00,2430.00,774.00,369.00,235.00,309.00,167.00,75.00,APPROVED
CA: SAN DIEGO,01/01/2018 12:28:00,110.00,3802.00,2408.00,758.00,370.00,231.00,308.00,170.00,76.00,APPROVED
CA: SAN DIEGO,01/01/2018 13:29:00,113.00,3917.00,2498.00,788.00,382.00,235.00,315.00,170.00,75.00,APPROVED
CA: SAN DIEGO,01/01/2018 14:29:00,118.00,4011.00,2593.00,815.00,396.00,240.00,324.00,177.00,77.00,APPROVED
CA: SAN DIEGO,01/01/2018 15:29:00,119.00,4018.00,2571.00,812.00,392.00,242.00,326.00,177.00,77.00,APPROVED
CA: SAN DIEGO,01/01/2018 16:29:00,114.00,3986.00,2549.00,800.00,390.00,238.00,321.00,177.00,78.00,APPROVED
CA: SAN DIEGO,01/01/2018 17:30:00,115.00,3911.00,2440.00,774.00,378.00,231.00,309.00,165.00,76.00,APPROVED
CA: SAN DIEGO,01/01/2018 18:30:00,115.00,3806.00,2301.00,718.00,347.00,221.00,281.00,162.00,74.00,APPROVED
CA: SAN DIEGO,01/01/2018 19:30:00,113.00,3705.00,2204.00,685.00,335.00,213.00,263.00,160.00,71.00,APPROVED
CA: SAN DIEGO,01/01/2018 20:30:00,113.00,3687.00,2188.00,662.00,332.00,212.00,252.00,157.00,71.00,APPROVED
CA: SAN DIEGO,01/01/2018 21:31:00,111.00,3652.00,2141.00,654.00,321.00,205.00,252.00,156.00,70.00,APPROVED
CA: SAN DIEGO,01/01/2018 22:31:00,109.00,3613.00,2111.00,646.00,316.00,205.00,243.00,153.00,70.00,APPROVED
CA: SAN DIEGO,01/01/2018 23:31:00,107.00,3566.00,2082.00,626.00,313.00,203.00,241.00,153.00,69.00,APPROVED
CA: SAN DIEGO,01/02/2018 00:31:00,107.00,3532.00,2028.00,626.00,297.00,195.00,237.00,146.00,68.00,APPROVED
CA: SAN DIEGO,01/02/2018 01:31:00,107.00,3531.00,2018.00,626.00,302.00,200.00,240.00,143.00,69.00,APPROVED
CA: SAN DIEGO,01/02/2018 02:32:00,106.00,3542.00,2035.00,624.00,298.00,198.00,243.00,142.00,66.00,APPROVED
CA: SAN DIEGO,01/02/2018 03:32:00,107.00,3563.00,2083.00,646.00,308.00,205.00,257.00,146.00,69.00,APPROVED
CA: SAN DIEGO,01/02/2018 04:32:00,107.00,3664.00,2212.00,695.00,326.00,213.00,277.00,151.00,72.00,APPROVED
CA: SAN DIEGO,01/02/2018 05:32:00,112.00,3725.00,2327.00,736.00,354.00,223.00,299.00,158.00,74.00,APPROVED
CA: SAN DIEGO,01/02/2018 06:33:00,107.00,3805.00,2376.00,755.00,355.00,227.00,307.00,164.00,75.00,APPROVED
CA: SAN DIEGO,01/02/2018 07:33:00,112.00,3849.00,2422.00,775.00,368.00,231.00,317.00,165.00,76.00,APPROVED
CA: SAN DIEGO,01/02/2018 08:33:00,108.00,3857.00,2446.00,782.00,364.00,233.00,318.00,164.00,75.00,APPROVED
CA: SAN DIEGO,01/02/2018 09:33:00,112.00,3933.00,2527.00,817.00,381.00,242.00,329.00,167.00,79.00,APPROVED
