LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/01/2014 00:40:00,,4133.00,2239.00,633.00,329.00,206.00,232.00,152.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2014 01:40:00,,4176.00,2285.00,639.00,341.00,208.00,240.00,154.00,63.00,APPROVED
CA: SAN DIEGO,01/01/2014 02:41:00,,4198.00,2303.00,639.00,340.00,213.00,240.00,156.00,62.00,APPROVED
CA: SAN DIEGO,01/01/2014 03:41:00,,4235.00,2377.00,662.00,364.00,220.00,254.00,161.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2014 04:41:00,,4313.00,2478.00,681.00,395.00,221.00,271.00,166.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2014 05:42:00,,4382.00,2580.00,709.00,417.00,234.00,284.00,174.00,69.00,APPROVED
CA: SAN DIEGO,01/01/2014 06:42:00,,4352.00,2544.00,715.00,407.00,231.00,281.00,171.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2014 07:43:00,,4376.00,2534.00,706.00,402.00,231.00,275.00,173.00,66.00,APPROVED
CA: SAN DIEGO,01/01/2014 08:43:00,,4334.00,2478.00,698.00,389.00,223.00,272.00,167.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2014 09:44:00,,4456.00,2582.00,714.00,402.00,232.00,280.00,172.00,67.00,APPROVED
CA: SAN DIEGO,01/01/2014 10:44:00,,4451.00,2587.00,725.00,412.00,234.00,282.00,172.00,71.00,APPROVED
CA: SAN DIEGO,01/01/2014 11:45:00,,4448.00,2587.00,719.00,408.00,232.00,278.00,170.00,69.00,APPROVED
CA: SAN DIEGO,01/01/2014 12:45:00,,4474.00,2572.00,727.00,403.00,234.00,278.00,175.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2014 13:45:00,,4526.00,2609.00,725.00,404.00,234.00,286.00,168.00,69.00,APPROVED
CA: SAN DIEGO,01/01/2014 14:45:00,,4471.00,2587.00,717.00,402.00,235.00,278.00,169.00,70.00,APPROVED
CA: SAN DIEGO,01/01/2014 15:46:00,,4503.00,2606.00,731.00,404.00,231.00,277.00,173.00,69.00,APPROVED
CA: SAN DIEGO,01/01/2014 16:46:00,,4570.00,2688.00,743.00,424.00,239.00,290.00,177.00,68.00,APPROVED
CA: SAN DIEGO,01/01/2014 17:46:00,,4595.00,2683.00,738.00,422.00,238.00,283.00,178.00,69.00,APPROVED
CA: SAN DIEGO,01/01/2014 18:46:00,,4411.00,2507.00,706.00,389.00,227.00,269.00,171.00,69.00,APPROVED
CA: SAN DIEGO,01/01/2014 19:47:00,,4318.00,2424.00,685.00,367.00,222.00,255.00,162.00,66.00,APPROVED
CA: SAN DIEGO,01/01/2014 20:47:00,,4220.00,2357.00,663.00,358.00,222.00,249.00,161.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2014 21:47:00,,4128.00,2301.00,652.00,344.00,211.00,246.00,156.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2014 22:48:00,,4171.00,2325.00,657.00,344.00,213.00,252.00,158.00,65.00,APPROVED
CA: SAN DIEGO,01/01/2014 23:48:00,,4159.00,2295.00,647.00,341.00,213.00,243.00,154.00,63.00,APPROVED
CA: SAN DIEGO,01/02/2014 00:48:00,,4233.00,2322.00,660.00,346.00,215.00,245.00,157.00,63.00,APPROVED
CA: SAN DIEGO,01/02/2014 01:48:00,,4290.00,2387.00,661.00,361.00,215.00,253.00,159.00,64.00,APPROVED
CA: SAN DIEGO,01/02/2014 02:49:00,,4369.00,2444.00,683.00,369.00,221.00,256.00,162.00,67.00,APPROVED
CA: SAN DIEGO,01/02/2014 03:49:00,,4432.00,2520.00,696.00,397.00,226.00,270.00,167.00,66.00,APPROVED
CA: SAN DIEGO,01/02/2014 04:50:00,,4519.00,2647.00,725.00,422.00,233.00,282.00,175.00,69.00,APPROVED
CA: SAN DIEGO,01/02/2014 05:50:00,,4657.00,2860.00,778.00,475.00,258.00,316.00,191.00,77.00,APPROVED
CA: SAN DIEGO,01/02/2014 06:50:00,,4620.00,2870.00,786.00,482.00,261.00,319.00,197.00,76.00,APPROVED
CA: SAN DIEGO,01/02/2014 07:50:00,,4802.00,3064.00,845.00,537.00,273.00,353.00,205.00,80.00,APPROVED
CA: SAN DIEGO,01/02/2014 08:51:00,,4604.00,2848.00,789.00,480.00,256.00,320.00,193.00,77.00,APPROVED
CA: SAN DIEGO,01/02/2014 09:51:00,,4568.00,2760.00,763.00,454.00,247.00,307.00,186.00,72.00,APPROVED
CA: SAN DIEGO,01/02/2014 10:51:00,,4644.00,2833.00,781.00,464.00,256.00,313.00,185.00,74.00,APPROVED
CA: SAN DIEGO,01/02/2014 11:51:00,,4598.00,2793.00,777.00,463.00,253.00,310.00,187.00,74.00,APPROVED
CA: SAN DIEGO,01/02/2014 12:51:00,,4515.00,2702.00,754.00,440.00,244.00,295.00,182.00,72.00,APPROVED
