LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/01/2012 00:37:00,,3832.00,2243.00,587.00,310.00,185.00,232.00,143.00,54.00,APPROVED
CA: SAN DIEGO,01/01/2012 01:37:00,,3862.00,2251.00,588.00,310.00,189.00,229.00,144.00,53.00,APPROVED
CA: SAN DIEGO,01/01/2012 02:38:00,,3890.00,2256.00,593.00,308.00,185.00,233.00,142.00,53.00,APPROVED
CA: SAN DIEGO,01/01/2012 03:38:00,,3923.00,2272.00,592.00,313.00,187.00,223.00,144.00,51.00,APPROVED
CA: SAN DIEGO,01/01/2012 04:38:00,,3919.00,2260.00,588.00,311.00,186.00,225.00,145.00,54.00,APPROVED
CA: SAN DIEGO,01/01/2012 05:38:00,,3921.00,2263.00,597.00,315.00,187.00,228.00,140.00,54.00,APPROVED
CA: SAN DIEGO,01/01/2012 06:38:00,,3916.00,2273.00,592.00,317.00,189.00,227.00,143.00,53.00,APPROVED
CA: SAN DIEGO,01/01/2012 07:39:00,,3892.00,2250.00,585.00,311.00,185.00,228.00,147.00,53.00,APPROVED
CA: SAN DIEGO,01/01/2012 08:39:00,,3817.00,2222.00,586.00,312.00,184.00,222.00,141.00,52.00,APPROVED
CA: SAN DIEGO,01/01/2012 09:39:00,,3818.00,2232.00,579.00,310.00,185.00,222.00,140.00,52.00,APPROVED
CA: SAN DIEGO,01/01/2012 10:39:00,,3777.00,2190.00,573.00,302.00,181.00,221.00,138.00,52.00,APPROVED
CA: SAN DIEGO,01/01/2012 11:39:00,,3801.00,2179.00,571.00,306.00,178.00,222.00,138.00,54.00,APPROVED
CA: SAN DIEGO,01/01/2012 12:40:00,,3756.00,2157.00,566.00,303.00,178.00,217.00,136.00,52.00,APPROVED
